pytanie|odpowiedz
Jaka jest wysokość opłaty pobieranej za wznowienie studiów?|Zgodnie z cennikiem opłat umieszczonym na stronie Dziekanatu, opłata za wznowienie studiów wynosi 80,00 zł.
Jaką ocenę programową Polskiej Komisji Akredytacyjnej (PKA) uzyskał kierunek Matematyka w grudniu 2018 roku?|Zgodnie z uchwałą z dnia 6 grudnia 2018 roku, kierunek Matematyka uzyskał wyróżniającą ocenę programową Polskiej Komisji Akredytacyjnej.
Ile minut powinna trwać rozmowa kwalifikacyjna podczas rekrutacji do Szkoły Doktorskiej PW i jaki jest maksymalny czas na prezentację kandydata?|Zgodnie z zasadami rekrutacji, rozmowa kwalifikacyjna powinna trwać w przedziale od 20 do 30 minut, z czego nie więcej niż 10 minut może zostać poświęcone na przedstawienie prezentacji przygotowanej przez kandydata.
O jaki maksymalny czas może ulec przesunięciu termin obrony w przypadku wystąpienia przez Komisję do Dziekana z wnioskiem o powołanie dodatkowego recenzenta?|W takim przypadku termin obrony może ulec przesunięciu o okres nieprzekraczający dwóch tygodni.
"Ile punktów ECTS uzyskuje się za zaliczenie przedmiotu ""Hurtownie danych i systemy Business Intelligence"" na 6. semestrze studiów inżynierskich na kierunku Inżynieria i Analiza Danych?"|"Za zaliczenie przedmiotu ""Hurtownie danych i systemy Business Intelligence"" na 6. semestrze student uzyskuje 5 punktów ECTS."
Kiedy przypada ostatni dzień roku akademickiego i koniec semestru letniego w harmonogramie na rok 2025/2026?|Zgodnie z harmonogramem na rok akademicki 2025/2026, ostatni dzień roku akademickiego i koniec semestru letniego przypada na 30 września 2026 roku.
Jaki jest maksymalny próg dochodowy netto na osobę w rodzinie, który uprawnia studenta do otrzymywania stypendium socjalnego od 1 października 2025 roku?|"Od 1 października 2025 roku stypendium socjalne może otrzymywać student, którego dochód na osobę w rodzinie nie przekracza 1908,90 zł netto
."
"Ile punktów ECTS student uzyskuje za przedmiot ""Praca dyplomowa"" na 6. semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych (MAD)?"|"Za przedmiot ""Praca dyplomowa"" na 6. semestrze studiów na tym kierunku student uzyskuje 15 punktów ECTS."
Od jakiej daty rozpoczęto wydawanie obecnego wzoru dyplomu ukończenia studiów w Politechnice Warszawskiej jako dokumentu publicznego?|Zgodnie z informacjami o dokumencie publicznym, data wprowadzenia do obrotu prawnego oraz rozpoczęcia wydawania danego wzoru dyplomu to 1 stycznia 2024 r.
Jakie dokumenty potwierdzające tożsamość powinny leżeć na stole studenta w trakcie pisania sprawdzianu lub egzaminu?|"Zgodnie z procedurą przeprowadzania sprawdzianów, na stole studenta powinna leżeć legitymacja studencka lub dowód osobisty
."
Kto ustala zasady dofinansowania kosztów zakwaterowania i dojazdów dla studentów odbywających praktyki studenckie poza stałym miejscem zamieszkania i siedzibą Uczelni?|Zasady dofinansowania takich kosztów ustala Dziekan w porozumieniu z Wydziałową Radą Samorządu Studentów.
Ile minimum punktów ECTS oraz jakie inne warunki trzeba spełnić, aby uzyskać rejestrację na trzeci rok na studiach pierwszego stopnia?|Aby uzyskać rejestrację na trzeci rok studiów pierwszego stopnia, należy zdobyć co najmniej 105 punktów ECTS oraz mieć zaliczone wszystkie przedmioty z pierwszego roku studiów.
"Ile punktów ECTS uzyskuje się za przedmiot ""Algebra i jej zastosowania"" na 4. semestrze studiów pierwszego stopnia na kierunku Matematyka?"|"Za zaliczenie przedmiotu ""Algebra i jej zastosowania"" na 4. semestrze student uzyskuje 5 punktów ECTS."
Czy istnieje możliwość przepisania praktyk studenckich (jako przedmiotu) zrealizowanych wcześniej na innej uczelni?|Nie, zgodnie z zasadami dotyczącymi praktyk na Wydziale MiNI nie ma możliwości przepisania praktyk (jako przedmiotu) zrealizowanych na innych uczelniach.
W jakim terminie od ogłoszenia wyników student może złożyć wniosek do dziekana o przeprowadzenie komisyjnej weryfikacji osiągnięcia efektów uczenia się z danego przedmiotu?|Student może złożyć umotywowany wniosek o przeprowadzenie komisyjnej weryfikacji w ciągu 4 dni roboczych od terminu ogłoszenia wyników.
"Ile punktów ECTS student uzyskuje za zaliczenie przedmiotu obieralnego ""Wybrane zagadnienia uczenia głębokiego""?"|"Za zaliczenie przedmiotu obieralnego ""Wybrane zagadnienia uczenia głębokiego"" student uzyskuje 4 punkty ECTS."
W którym pokoju znajduje się biuro Samorządu Studentów Wydziału MiNI i na jaki adres e-mail można kierować do nich pytania?|"Biuro Samorządu Studentów znajduje się w pokoju numer 45 (w tzw. ""nodze"" budynku), a kontaktowy adres e-mail to MiNI@samorzad.pw.edu.pl."
Jaką wiedzę posiada absolwent specjalności Probabilistyka i Modelowanie w ramach efektu uczenia się o symbolu MAD2PRiMO_W08?|W ramach efektu uczenia się o symbolu MAD2PRiMO_W08 absolwent zna podstawowe modele probabilistyczne w biologii i genetyce.
Pod jakim numerem telefonu można skontaktować się z Całodobowym Centrum Kierowania Straży Akademickiej PW?|Z Całodobowym Centrum Kierowania Straży Akademickiej PW można skontaktować się pod numerem telefonu 22 234 66 66.
Pod jakim numerem telefonu i adresem e-mail mogę skontaktować się z prof. dr. hab. Stanisławem Janeczko?|Z profesorem Stanisławem Janeczko można skontaktować się pod numerem telefonu służbowego (22) 234 76 61 oraz adresem e-mail stanislaw.janeczko@pw.edu.pl.
Na jaki adres e-mail lub skrytkę ePuap należy przesłać wniosek elektroniczny o udostępnienie informacji publicznej w Politechnice Warszawskiej?|Wniosek elektroniczny należy przesłać na adres mailowy Biura Rektora: informacjapubliczna@pw.edu.pl lub na skrzynkę podawczą ePuap: /PW/SkrytkaESP.
Pod jakim numerem telefonu można skontaktować się z dziekanatem w sprawach toku studiów dla kierunku Inżynieria i Analiza Danych?|Z dziekanatem w sprawach toku studiów dla kierunku Inżynieria i Analiza Danych można skontaktować się pod numerem telefonu 22 234-59-22.
"Ile punktów ECTS student uzyskuje za przedmiot ""Metody optymalizacji"" na 5. semestrze studiów inżynierskich na kierunku Inżynieria i Analiza Danych?"|"Za zaliczenie przedmiotu ""Metody optymalizacji"" na 5. semestrze student uzyskuje 5 punktów ECTS."
Jaką minimalną ocenę na dyplomie ukończenia studiów musi posiadać kandydat ubiegający się o przyjęcie do Szkoły Doktorskiej PW?|Aby zostać przyjętym do Szkoły Doktorskiej PW, kandydat musi posiadać na dyplomie ukończenia studiów ocenę przynajmniej dobrą (lub ocenę odpowiadającą dobrej w przypadku dyplomu wydanego przez uczelnię zagraniczną).
Pod jakim numerem telefonu służbowego i w jakim pokoju można skontaktować się z mgr Dagmarą Burchart z Działu Finansowo-Księgowego?|Z mgr Dagmarą Burchart można skontaktować się pod numerem telefonu (22) 234 59 86, a jej biuro znajduje się w Gmachu MiNI w pokoju numer 9.
Jaki jest maksymalny próg dochodowy na osobę w rodzinie uprawniający do otrzymania stypendium socjalnego (od 1 października 2025 r.)?|Próg dochodowy na osobę w rodzinie uprawniający do otrzymania stypendium socjalnego nie może przekraczać 1908,90 zł netto.
W jakim maksymalnym terminie przed kolejnym sprawdzianem lub egzaminem prowadzący zajęcia ma obowiązek udostępnić studentom wyniki weryfikacji osiągnięcia efektów uczenia się?|Prowadzący zajęcia ma obowiązek udostępnić wyniki niezwłocznie po dokonaniu ich oceny, ale nie później niż na 48 godzin przed terminem kolejnego egzaminu lub sprawdzianu.
Ile punktów ECTS uzyskuje się za pracę dyplomową na 6. semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?|Za pracę dyplomową zrealizowaną na 6. semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych student uzyskuje 15 punktów ECTS.
Jakie dokumenty potwierdzające tożsamość powinny leżeć na stole studenta w trakcie przeprowadzania sprawdzianu lub egzaminu?|Zgodnie z procedurą, na stole studenta w trakcie sprawdzianu lub egzaminu powinna leżeć legitymacja studencka lub dowód osobisty.
Od jakiej daty wprowadzono do obrotu prawnego i rozpoczęto wydawanie nowego wzoru dyplomu ukończenia studiów w Politechnice Warszawskiej?|Nowy wzór dyplomu ukończenia studiów w Politechnice Warszawskiej wprowadzono do obrotu prawnego oraz rozpoczęto jego wydawanie od 1 stycznia 2024 roku.
Ile minimalnie punktów ECTS (nie wliczając praktyk) musi uzyskać student studiów pierwszego stopnia, aby otrzymać rejestrację na 3. semestr?|Aby uzyskać rejestrację na 3. semestr studiów pierwszego stopnia, student musi uzyskać co najmniej 40 punktów ECTS do końca zimowej lub jesiennej sesji egzaminacyjnej.
W jakim dniu zgodnie z harmonogramem kończy się semestr letni oraz rok akademicki 2025/2026?|Zgodnie z harmonogramem, ostatni dzień roku akademickiego 2025/2026 oraz koniec semestru letniego przypada na 30 września 2026 r. (środa).
Jakie dokumenty są wymagane do zaliczenia obowiązkowych praktyk studenckich na podstawie umowy o pracę?|Aby zaliczyć praktyki na podstawie umowy o pracę, student musi dostarczyć kopię umowy (lub zaświadczenie o zatrudnieniu w przypadku umów utajnionych) oraz zaświadczenie o zakończeniu praktyki podpisane przez pracodawcę.
"Ile punktów ECTS student uzyskuje za zaliczenie przedmiotu ""Algebra i jej zastosowania"" na 4. semestrze studiów pierwszego stopnia na kierunku Matematyka?"|"Za zaliczenie przedmiotu ""Algebra i jej zastosowania"" na 4. semestrze student uzyskuje 5 punktów ECTS."
Ile łącznie miejsc parkingowych, wliczając w to garaż podziemny, znajduje się w dyspozycji Wydziału Matematyki i Nauk Informacyjnych?|W dyspozycji Wydziału MiNI znajduje się łącznie 57 miejsc parkingowych, z czego 50 miejsc zlokalizowanych jest w garażu podziemnym.
"Kto jest koordynatorem przedmiotu obieralnego ""Wybrane zagadnienia uczenia głębokiego""?"|"Koordynatorem przedmiotu ""Wybrane zagadnienia uczenia głębokiego"" jest prof. dr hab. inż. Szymon Jaroszewicz."
Jaką wiedzę posiada absolwent, który osiągnął efekt uczenia się o symbolu MAD2PRiMO_W01?|Absolwent posiada wiedzę z teorii martyngałów, całki stochastycznej i stochastycznych równań różniczkowych oraz zna najważniejsze twierdzenia z tego zakresu.
W jakiej sytuacji student odbywający praktyki studenckie może ubiegać się o dofinansowanie kosztów zakwaterowania i dojazdów?|Student może ubiegać się o dofinansowanie poniesionych i należycie udokumentowanych kosztów zakwaterowania i dojazdów, jeśli odbywa praktykę poza swoim stałym miejscem zamieszkania oraz siedzibą uczelni.
W jakiej wysokości i przez ile miesięcy wypłacane jest stypendium w ramach naboru do prac badawczych w ogłoszonym grancie?|Stypendium w ramach grantu wynosi 1000 zł miesięcznie i jest wypłacane przez okres 24 miesięcy.
Pod jakim numerem telefonu w dziekanacie można załatwiać sprawy związane z systemem USOS?|Sprawy związane z systemem USOS można załatwiać w dziekanacie pod numerem telefonu 22 234 59 24.
O jaki maksymalnie czas może ulec przesunięciu termin obrony pracy dyplomowej w przypadku wystąpienia Komisji do Dziekana z wnioskiem o powołanie dodatkowego recenzenta?|W takim przypadku termin obrony może ulec przesunięciu o okres nieprzekraczający dwóch tygodni.
"Ile punktów ECTS uzyskuje student za zaliczenie przedmiotu ""Wstęp do uczenia maszynowego"" na 5. semestrze studiów inżynierskich na kierunku Inżynieria i Analiza Danych?"|"Za zaliczenie przedmiotu ""Wstęp do uczenia maszynowego"" na 5. semestrze student uzyskuje 4 punkty ECTS."
Ile punktów ECTS musi uzyskać student studiów drugiego stopnia, aby otrzymać rejestrację na 3. semestr?|Aby uzyskać rejestrację na 3. semestr studiów drugiego stopnia, student musi uzyskać co najmniej 48 punktów ECTS do końca zimowej lub jesiennej sesji egzaminacyjnej.
Ile razy w roku prowadzona jest rekrutacja do Szkoły Doktorskiej Politechniki Warszawskiej?|Rekrutacja do Szkoły Doktorskiej Politechniki Warszawskiej prowadzona jest dwa razy w roku – odpowiednio na semestr zimowy i letni.
W jakim zakładzie pracuje dr Katarzyna Danielak i gdzie znajduje się jej pokój kontaktowy?|Dr Katarzyna Danielak pracuje w Zakładzie Statystyki Obliczeniowej i Analizy Danych, a jej pokój to 428 w Gmachu MiNI na Kampusie Głównym PW.
Jaki jest próg dochodowy na osobę w rodzinie uprawniający studenta Politechniki Warszawskiej do otrzymywania stypendium socjalnego od 1 października 2025 roku?|Aby student mógł otrzymywać stypendium socjalne od 1 października 2025 roku, próg dochodowy na osobę w jego rodzinie nie może przekraczać kwoty 1908,90 zł netto.
W jakim najpóźniejszym terminie student Politechniki Warszawskiej powinien złożyć wniosek o przeniesienie na inny program studiów?|Zgodnie z Regulaminem Studiów wniosek o przeniesienie na inny program studiów powinien zostać złożony nie później niż 3 tygodnie przed rozpoczęciem semestru.
Jakie są konsekwencje stwierdzenia niesamodzielności pracy studenta podczas sprawdzianu lub egzaminu?|W przypadku stwierdzenia niesamodzielności pracy, student uzyskuje ocenę niedostateczną i traci prawo do zaliczenia przedmiotu w jego bieżącej realizacji.
"Ile punktów ECTS uzyskuje student za zaliczenie przedmiotu ""Analiza zależności"" na 6. semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?"|"Za zaliczenie przedmiotu ""Analiza zależności"" na 6. semestrze student uzyskuje 5 punktów ECTS."
Kiedy zgodnie z harmonogramem przypada ostatni dzień roku akademickiego 2025/2026, będący zarazem końcem semestru letniego?|Zgodnie z harmonogramem ostatni dzień roku akademickiego 2025/2026 i koniec semestru letniego przypada na 30 września 2026 roku.
Kto pełni funkcję Pełnomocnika Dziekana ds. Praktyk Studenckich na Wydziale Matematyki i Nauk Informacyjnych?|Funkcję Pełnomocnika Dziekana ds. Praktyk Studenckich pełni dr inż. Łukasz Błaszczyk.
"W którym semestrze studiów pierwszego stopnia na kierunku Matematyka realizowany jest przedmiot ""Równania różniczkowe cząstkowe"" i ile punktów ECTS można za niego uzyskać?"|"Przedmiot ""Równania różniczkowe cząstkowe"" realizowany jest w 5. semestrze studiów, a za jego zaliczenie student uzyskuje 5 punktów ECTS."
Kto składa wniosek o wyrażenie zgody na odbywanie przez studenta praktyk wewnętrznych na Wydziale pod opieką nauczyciela akademickiego?|Wniosek do Prodziekana ds. Studenckich o wyrażenie zgody na praktyki wewnętrzne składa pracownik (nauczyciel akademicki), pod którego opieką student ma je odbywać.
Jaką wiedzę dotyczącą ryzyka zyskuje absolwent specjalności Probabilistyka i Modelowanie zgodnie z efektem uczenia się MAD2PRiMO_W04?|"Zgodnie z efektem MAD2PRiMO_W04 absolwent zna model ryzyka indywidualnego, jego charakterysty
Odpowiadam…
(300)"
Kto ustala zasady dofinansowania kosztów zakwaterowania i dojazdów dla studenta odbywającego praktykę poza stałym miejscem zamieszkania i siedzibą uczelni?|Zasady dofinansowania kosztów zakwaterowania i dojazdów w trakcie praktyk ustala Dziekan w porozumieniu z Wydziałową Radą Samorządu Studentów.
Od jakiej daty rozpoczęto wydawanie obecnego wzoru dyplomu ukończenia studiów w Politechnice Warszawskiej?|Wydawanie obecnego wzoru dyplomu ukończenia studiów rozpoczęto 1 stycznia 2024 roku.
Pod jakim numerem telefonu w dziekanacie można uzyskać informacje dotyczące toku studiów dla kierunku Inżynieria i Analiza Danych?|Informacje w sprawach toku studiów dla kierunku Inżynieria i Analiza Danych można uzyskać pod numerem telefonu 22 234-59-22 (pokój 32).
O jaki maksymalny czas może ulec przesunięciu termin obrony w przypadku powołania dodatkowego recenzenta pracy dyplomowej?|W przypadku powołania przez Dziekana dodatkowego recenzenta na wniosek Komisji, termin obrony może ulec przesunięciu o okres nieprzekraczający dwóch tygodni.
Kto pełni funkcję Dziekana Wydziału Matematyki i Nauk Informacyjnych?|Funkcję Dziekana Wydziału pełni prof. dr hab. Grzegorz Świątek.
"Ile punktów ECTS uzyskuje student za zaliczenie przedmiotu ""Hurtownie danych i systemy Business Intelligence"" na 6. semestrze studiów inżynierskich na kierunku Inżynieria i Analiza Danych?"|"Za zaliczenie przedmiotu ""Hurtownie danych i systemy Business Intelligence"" na 6. semestrze student uzyskuje 5 punktów ECTS."
Pod jakim numerem telefonu oraz adresem e-mail można skontaktować się z Całodobowym Centrum Kierowania Straży Akademickiej PW?|Z Całodobowym Centrum Kierowania Straży Akademickiej PW można skontaktować się pod numerem telefonu 22 234 66 66 oraz pod adresem e-mail sta.cck@pw.edu.pl.
Kto pełni funkcję Pełnomocnika Dziekana ds. Studiów na Kierunku Inżynieria i Analiza Danych na Wydziale MiNI?|Funkcję Pełnomocnika Dziekana ds. Studiów na Kierunku Inżynieria i Analiza Danych pełni dr hab. inż. Marek Gągolewski.
Jaki jest maksymalny próg dochodowy na osobę w rodzinie uprawniający studenta do otrzymania stypendium socjalnego od 1 października 2025 roku?|Od 1 października 2025 roku próg dochodowy na osobę w rodzinie uprawniający do otrzymywania stypendium socjalnego nie może przekraczać kwoty 1908,90 zł netto.
W jakim terminie student może złożyć wniosek o komisyjną weryfikację osiągnięcia efektów uczenia się w przypadku zastrzeżeń do procedury oceniania?|Student może złożyć umotywowany wniosek do dziekana w ciągu 4 dni roboczych od terminu ogłoszenia wyników weryfikacji osiągnięcia efektów uczenia się.
"W którym semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych realizowany jest przedmiot ""Wstęp do eksploracji danych"" i ile punktów ECTS można za niego uzyskać?"|"Przedmiot ""Wstęp do eksploracji danych"" realizowany jest w 4. semestrze studiów, a za jego zaliczenie student uzyskuje 4 punkty ECTS."
Ile punktów ECTS musi uzyskać student studiów stacjonarnych pierwszego stopnia, aby zarejestrować się na 3. semestr?|Przy rejestracji na 3. semestr student musi uzyskać co najmniej 40 punktów ECTS z 60 możliwych do zdobycia na pierwszym roku studiów (nie wliczając praktyk).
W jakim maksymalnym terminie od daty zdarzenia uprawniającego do świadczenia student powinien złożyć wniosek o zapomogę?|Wniosek o zapomogę należy złożyć niezwłocznie, jednak nie później niż w terminie 3 miesięcy od daty zdarzenia uprawniającego do przyznania tego świadczenia.
W którym pokoju urzęduje redaktor Biuletynu Informacji Publicznej (BIP) PW i pod jakim adresem e-mail można się z nim skontaktować?|Redaktor BIP PW urzęduje w pokoju 105 w Gmachu Głównym, a kontakt z redakcją jest możliwy pod adresem e-mail redakcja.bip@pw.edu.pl.
W jakim zakładzie na Wydziale MiNI pracuje dr Katarzyna Danielak i w którym pokoju urzęduje?|Dr Katarzyna Danielak pracuje w Zakładzie Statystyki Obliczeniowej i Analizy Danych i urzęduje w pokoju 428 w Gmachu MiNI.
Kiedy w roku akademickim 2025/2026 zaplanowano Juwenalia w Warszawie i czy jest to dzień wolny od zajęć dydaktycznych?|Juwenalia w Warszawie zaplanowano na 15 maja 2026 roku (piątek) i jest to dzień wolny od zajęć dydaktycznych dla studentów w Warszawie.
"Ile punktów ECTS uzyskuje student za zaliczenie przedmiotu obieralnego ""Algorytmy Probabilistyczne"" i w jakim języku prowadzone są te zajęcia?"|"Za zaliczenie przedmiotu ""Algorytmy Probabilistyczne"" student uzyskuje 4 punkty ECTS, a zajęcia prowadzone są w języku polskim."
Ile godzin trwają obowiązkowe praktyki studenckie na studiach magisterskich (kierunki MAT oraz MAD) i ile punktów ECTS student za nie uzyskuje?|Obowiązkowe praktyki na studiach magisterskich trwają 90 godzin (co odpowiada 2,25 tygodnia), a za ich zrealizowanie student uzyskuje 3 punkty ECTS.
"Ile punktów ECTS uzyskuje student za zaliczenie przedmiotu ""Równania różniczkowe cząstkowe"", realizowanego w 5. semestrze studiów pierwszego stopnia na kierunku Matematyka?"|"Za zaliczenie przedmiotu ""Równania różniczkowe cząstkowe"" w 5. semestrze student uzyskuje 5 punktów ECTS."
Komu student powinien przekazać ankietę wypełnioną przez podmiot zewnętrzny (pracodawcę) po odbyciu praktyk?|Wypełnioną przez podmiot zewnętrzny ankietę oceniającą student przekazuje Pełnomocnikowi ds. Praktyk.
Jaki jest przewidywany czas oczekiwania na wydanie duplikatu Elektronicznej Legitymacji Studenckiej (ELS)?|Czas oczekiwania na wydanie duplikatu Elektronicznej Legitymacji Studenckiej wynosi około 7 do 10 dni roboczych.
W którym pokoju i pod jakim numerem telefonu urzęduje Dziekanat Wydziału MiNI w sprawach socjalnych?|W sprawach socjalnych Dziekanat przyjmuje w pokoju 32, a kontakt telefoniczny jest możliwy pod numerem 22 234-59-21.
O ile maksymalnie może ulec przesunięciu termin obrony w przypadku powołania przez Komisję dodatkowego recenzenta pracy dyplomowej?|W przypadku wystąpienia z wnioskiem o powołanie dodatkowego recenzenta, termin obrony pracy dyplomowej może ulec przesunięciu o okres nieprzekraczający dwóch tygodni.
Jakie elementy bierze pod uwagę komisja rekrutacyjna przy ocenie zarysu koncepcji pracy badawczej kandydata do Szkoły Doktorskiej PW?|Komisja rekrutacyjna ocenia umiejętność zdefiniowania celu naukowego projektu, uzasadnienie podjęcia tematyki badawczej, orientację w obecnym stanie wiedzy w wybranej tematyce oraz planowany zakres i metodykę badań.
"Ile punktów ECTS uzyskuje student za zaliczenie przedmiotu ""Metody statystiki obliczeniowej"" realizowanego w 5. semestrze studiów pierwszego stopnia na kierunku Inżynieria i Analiza Danych?"|"Za zaliczenie przedmiotu ""Metody statystiki obliczeniowej"" w 5. semestrze student uzyskuje 5 punktów ECTS."
Pod jakim numerem telefonu i adresem e-mail funkcjonuje Całodobowe Centrum Kierowania Straży Akademickiej PW?|Całodobowe Centrum Kierowania Straży Akademickiej PW funkcjonuje pod numerem telefonu 22 234 66 66 oraz adresem e-mail sta.cck@pw.edu.pl.
Kto decyduje o przyznaniu kart uprawniających do korzystania z miejsc parkingowych będących w dyspozycji Wydziału MiNI?|O przyznaniu kart uprawniających do korzystania z miejsc parkingowych decyduje Komisja powołana przez Dziekana Wydziału MiNI.
Jaki jest próg dochodowy netto na osobę w rodzinie, aby student mógł otrzymywać stypendium socjalne od 1 października 2025 roku?|Od 1 października 2025 roku próg dochodowy uprawniający studenta do otrzymywania stypendium socjalnego nie może przekraczać kwoty 1908,90 zł netto na osobę w rodzinie.
"W którym semestrze na studiach magisterskich na kierunku Matematyka i Analiza Danych (specjalność Probabilistyka i Modelowanie) realizowany jest przedmiot ""Optymalizacja stochastyczna"" i ile punktów ECTS można uzyskać za jego zaliczenie?"|"Przedmiot ""Optymalizacja stochastyczna"" realizowany jest w 1. semestrze studiów, a za jego zaliczenie student uzyskuje 6 punktów ECTS."
Jakie są konsekwencje stwierdzenia niesamodzielności pracy studenta lub korzystania przez niego z niedozwolonych urządzeń podczas sprawdzianu?|W takim przypadku student uzyskuje ocenę niedostateczną i traci prawo do zaliczenia przedmiotu w jego bieżącej realizacji.
Do kiedy osoba, która ukończyła studia pierwszego stopnia, zachowuje prawa studenta?|Osoba, która ukończyła studia pierwszego stopnia, zachowuje prawa studenta do 31 października roku, w którym ukończyła te studia (z wyłączeniem prawa do świadczeń w zakresie określonym przez ustawę).
Ile minimalnie punktów ECTS musi uzyskać student studiów pierwszego stopnia, aby móc zarejestrować się na 3. semestr?|Aby uzyskać rejestrację na 3. semestr studiów pierwszego stopnia, student musi uzyskać co najmniej 40 punktów ECTS (z 60 punktów możliwych do uzyskania na pierwszym roku).
Od jakiej daty Politechnika Warszawska rozpoczęła wydawanie zaktualizowanego wzoru dyplomu ukończenia studiów jako dokumentu publicznego?|Politechnika Warszawska rozpoczęła wydawanie zaktualizowanego wzoru dyplomu ukończenia studiów 1 stycznia 2024 roku.
W którym pokoju i pod jakim numerem telefonu urzęduje mgr Dagmara Burchart z Działu Finansowo-Księgowego?|Mgr Dagmara Burchart urzęduje w pokoju nr 9 w Gmachu MiNI na Kampusie Głównym PW, a jej służbowy numer telefonu to (22) 234 5986.
"Ile punktów ECTS uzyskuje student za zaliczenie przedmiotu ""Analiza zależności"", realizowanego w 6. semestrze studiów pierwszego stopnia na kierunku Matematyka i Analiza Danych?"|"Za zaliczenie przedmiotu ""Analiza zależności"" w 6. semestrze studiów student uzyskuje 5 punktów ECTS."
W którym pokoju urzęduje Redaktor Biuletynu Informacji Publicznej (BIP) PW i pod jakim adresem e-mail można się z nim skontaktować?|Redaktor BIP PW urzęduje w pokoju 105 w Gmachu Głównym, a jego adres e-mail to redakcja.bip@pw.edu.pl.
"Kto jest koordynatorem przedmiotu obieralnego ""Wybrane zagadnienia uczenia głębokiego"" i ile punktów ECTS uzyskuje student za jego zaliczenie?"|Koordynatorem tego przedmiotu jest prof. dr hab. inż. Szymon Jaroszewicz, a za jego zaliczenie student uzyskuje 4 punkty ECTS.
Ile minimalnie punktów ECTS musi uzyskać student studiów drugiego stopnia (wszystkie kierunki i specjalności), aby otrzymać rejestrację na 3. semestr?|Aby uzyskać rejestrację na 3. semestr studiów drugiego stopnia, student musi uzyskać do końca zimowej lub jesiennej sesji egzaminacyjnej co najmniej 48 punktów ECTS (z 60 punktów możliwych).
W którym pokoju i pod jakim numerem telefonu urzęduje prof. dr hab. inż. Bohdan Macukow?|Prof. dr hab. inż. Bohdan Macukow urzęduje w pokoju 560 w Gmachu MiNI na Kampusie Głównym PW, a jego numer telefonu służbowego to (22) 234 7687.
Jakie są możliwe sposoby weryfikacji i oceny efektów uczenia się osiągniętych przez studenta w trakcie całego cyklu kształcenia?|Efekty uczenia się mogą być oceniane poprzez egzamin pisemny lub ustny, kolokwium pisemne lub ustne, sprawozdanie (raport pisemny), projekt, prezentację, pracę domową, esej, ocenę aktywności podczas zajęć oraz samoocenę.
Czy student odbywający praktykę poza stałym miejscem zamieszkania i siedzibą uczelni może ubiegać się o dofinansowanie kosztów zakwaterowania i dojazdów?|Tak, student może ubiegać się o dofinansowanie należycie udokumentowanych kosztów zakwaterowania i dojazdów, a zasady dofinansowania ustala Dziekan w porozumieniu z Wydziałową Radą Samorządu Studentów.
Ile wynosi opłata za wydanie duplikatu elektronicznej legitymacji studenckiej i jak długo czeka się na nowy dokument?|Opłata za wydanie duplikatu elektronicznej legitymacji studenckiej wynosi 25,50 zł, a czas oczekiwania na jego wydanie to około 7 do 10 dni roboczych.
W którym pokoju w Dziekanacie i pod jakim numerem telefonu można załatwić sprawy toku studiów dla kierunku Inżynieria i Analiza Danych?|Sprawy toku studiów dla kierunku Inżynieria i Analiza Danych można załatwić w Dziekanacie w pokoju 32, dzwoniąc pod numer telefonu 22 234-59-22.
Jakie elementy podlegają ocenie przez komisję w toku indywidualnego egzaminu dyplomowego?|Komisja ocenia przedstawiony ustnie przez dyplomanta opis wyników pracy dyplomowej oraz jego odpowiedzi na pytania egzaminacyjne dotyczące samej pracy, a także pytania problemowe z zakresu programu studiów.
W jakie dni i w jakich godzinach odbywa się zdalny dyżur dr. inż. Łukasza Błaszczyka w sprawach praktyk studenckich?|Zdalny dyżur dr. inż. Łukasza Błaszczyka w sprawach praktyk studenckich odbywa się w czwartki w godzinach od 12:15 do 13:45.
"Ile punktów ECTS można uzyskać za zaliczenie przedmiotu ""Hurtownie danych i systemy Business Intelligence"" realizowanego na 6. semestrze studiów inżynierskich na kierunku Inżynieria i Analiza Danych?"|"Za zaliczenie przedmiotu ""Hurtownie danych i systemy Business Intelligence"" student uzyskuje 5 punktów ECTS."
Z ilu łącznie miejsc parkingowych, będących w dyspozycji Wydziału MiNI, mogą korzystać uprawnione osoby?|Wydział MiNI dysponuje łącznie 57 miejscami parkingowymi, z czego 50 znajduje się w garażu podziemnym, a pozostałe na terenie przyległym do gmachu.
Jaki jest maksymalny próg dochodowy na osobę w rodzinie, który uprawnia studenta do otrzymywania stypendium socjalnego w roku akademickim 2025/2026?|Stypendium socjalne może otrzymywać student, którego próg dochodowy na osobę w rodzinie nie przekracza 1908,90 zł netto (kwota obowiązująca od 1 października 2025 r.).
Ile punktów ECTS jest przypisanych do obowiązkowych praktyk studenckich na studiach stacjonarnych pierwszego stopnia, które kończą się uzyskaniem tytułu zawodowego inżyniera?|W przypadku studiów pierwszego stopnia kończących się uzyskaniem tytułu inżyniera, obowiązkowe praktyki studenckie mają przypisane 4 punkty ECTS.
