pytanie,odpowiedz_wygenerowana,zwrocone_linki
W jakich dniach i godzinach otwarty jest dziekanat na Wydziale MiNI?,"Dziekanat jest otwarty w poniedziałki, wtorki, czwartki oraz piątki w godzinach 11:00-14:00."
Na jakiej stronie internetowej powinienem złożyć wniosek o przyznanie miejsca w domu studenckim?,Wniosek o zakwaterowanie w domu studenckim należy złożyć na stronie internetowej dostępnej pod adresem https://kwaterunek.sspw.pl/.,"[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/wydzial/zamowienia-publiczne/""}, {""rank"": 2, ""url"": ""https://www.bss.pw.edu.pl/Stypendia/Stypendia-z-Funduszu-Stypendialnego/Stypendium-Rektora""}, {""rank"": 3, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/katalog-obieralne-2023.pdf""}, {""rank"": 4, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/praktyki_prezentacja_2025.pdf""}, {""rank"": 5, ""url"": ""https://ww2.mini.pw.edu.pl/studia/inzynierskie-i-licencjackie/wymiana-miedzynarodowa/""}, {""rank"": 6, ""url"": ""https://ww2.mini.pw.edu.pl/studia/dziekanat/sprawy-socjalne/""}, {""rank"": 7, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1030-IN000-ISP-0595&callback=g_1bb9ff53""}, {""rank"": 8, ""url"": ""https://ww2.mini.pw.edu.pl/studia/inzynierskie-i-licencjackie/rekrutacja/""}, {""rank"": 9, ""url"": ""https://ww4.mini.pw.edu.pl/for-students/deans-office/""}, {""rank"": 10, ""url"": ""https://ww2.mini.pw.edu.pl/obrona-rozprawy-doktorskiej-mgr-urszuli-pastwy/""}, {""rank"": 11, ""url"": ""https://ww2.mini.pw.edu.pl/studia/inzynierskie-i-licencjackie/inzynieria-i-analiza-danych/""}, {""rank"": 12, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0619&callback=g_1bb9ff53""}, {""rank"": 13, ""url"": ""https://ww2.mini.pw.edu.pl/studia/magisterskie/kandydaci/""}, {""rank"": 14, ""url"": ""https://ww2.mini.pw.edu.pl/popularyzacja/dzien-popularyzacji-matematyki/""}, {""rank"": 15, ""url"": ""https://bip.pw.edu.pl/var/pw/storage/original/application/390bf595ba50c2b63d98e7056c54b61f.pdf""}, {""rank"": 16, ""url"": ""https://ww2.mini.pw.edu.pl/laboratorium/uslugi/usluga-wirtualki/""}, {""rank"": 17, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1170-IN000-MSP-0662&callback=g_1bb9ff53""}, {""rank"": 18, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0508&callback=g_1bb9ff53""}]"
Jaki próg dochodowy na osobę w rodzinie uprawnia studenta do ubiegania się o stypendium socjalne?,"Próg dochodu na osobę w rodzinie uprawniający studenta do ubiegania się o stypendium socjalne w roku akademickim 2025/2026 wynosi 1 908,90 zł.","[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/studia/dziekanat/sprawy-socjalne/""}, {""rank"": 2, ""url"": ""https://www.bss.pw.edu.pl/Stypendia/Stypendia-z-Funduszu-Stypendialnego/Stypendium-Rektora""}, {""rank"": 3, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Poradnik-Stypendialny-SSPW-2025-2026.pdf""}]"
Czy porozumienie dotyczące praktyk mogę dostarczyć do wydziału w formie zeskanowanego dokumentu?,"Skany wymaganych dokumentów należy przesłać do kierownika projektu na Wydziale MiNI, dr hab. Bogusławy Karpińskiej, prof. uczelni.","[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/praktyki_prezentacja_2025.pdf""}, {""rank"": 2, ""url"": ""https://ww2.mini.pw.edu.pl/kolejny-etap-rekrutacji-do-projektu-szkola-orlow-na-pw/""}, {""rank"": 3, ""url"": ""https://ww2.mini.pw.edu.pl/studia/inzynierskie-i-licencjackie/praktyki/""}, {""rank"": 4, ""url"": ""https://ww4.mini.pw.edu.pl/for-students/deans-office/""}, {""rank"": 5, ""url"": ""https://ww2.mini.pw.edu.pl/wydzial/zamowienia-publiczne/""}, {""rank"": 6, ""url"": ""https://ww2.mini.pw.edu.pl/studia/dziekanat/kontakt-i-dyzury/""}, {""rank"": 7, ""url"": ""https://ww2.mini.pw.edu.pl/certyfikat-enaee-dla-kierunku-informatyka-i-systemy-informacyjne-na-wydziale-mini-pw-na-studiach-i-go-i-ii-ego-stopnia/""}, {""rank"": 8, ""url"": ""https://ww2.mini.pw.edu.pl/studia/dziekanat/dla-dyplomantow-i-promotorow/""}, {""rank"": 9, ""url"": ""https://ww2.mini.pw.edu.pl/informacje-dotyczace-funkcjonowania-uczelni-oraz-regulamin-przebywania-w-gmachu-wydzialu-mini-w-czasie-epidemii/""}, {""rank"": 10, ""url"": ""https://ww2.mini.pw.edu.pl/studia/inzynierskie-i-licencjackie/wymiana-miedzynarodowa/""}, {""rank"": 11, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Procedura-przeprowadzania-sprawdzian%C3%B3w.pdf""}, {""rank"": 12, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0507&callback=g_1bb9ff53""}]"
Ile punktów ECTS uzyskam za zaliczenie przedmiotu Matematyka popularna?,Za zaliczenie przedmiotu Matematyka popularna uzyska Pan lub Pani 4 punkty ECTS.,"[{""rank"": 1, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0686&callback=g_1bb9ff53""}, {""rank"": 2, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0524&callback=g_1bb9ff53""}, {""rank"": 3, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/katalog-obieralne-2023.pdf""}, {""rank"": 4, ""url"": ""file://Regulamin studiów w PW (5).pdf""}, {""rank"": 5, ""url"": ""https://www.bip.pw.edu.pl/Sprawy-Studenckie/Regulamin-studiow-w-Politechnice-Warszawskiej2""}]"
"Jakie są wymagania wstępne, aby móc realizować przedmiot Gry kombinatoryczne?","Wymagania wstępne dla przedmiotu Gry kombinatoryczne obejmują matematykę dyskretną, algebrę liniową oraz rachunek prawdopodobieństwa.","[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/katalog-obieralne-2023.pdf""}, {""rank"": 2, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-IN000-ISP-0519&callback=g_1bb9ff53""}]"
W jakiej formie i gdzie powinienem złożyć podanie o urlop zdrowotny?,Podanie o urlop zdrowotny jest dostępne w systemie USOSweb. Urlop ten jest udzielany przez dziekana na podstawie orzeczenia uprawnionego lekarza.,"[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/studia/dziekanat/dokumenty-i-formularze/""}, {""rank"": 2, ""url"": ""https://www.bip.pw.edu.pl/Sprawy-Studenckie/Regulamin-studiow-w-Politechnice-Warszawskiej2""}, {""rank"": 3, ""url"": ""file://Regulamin studiów w PW (5).pdf""}, {""rank"": 4, ""url"": ""https://bip.pw.edu.pl/var/pw/storage/original/application/390bf595ba50c2b63d98e7056c54b61f.pdf""}, {""rank"": 5, ""url"": ""https://www.bip.pw.edu.pl/var/pw/storage/original/application/62f1b26a2cee774b5699342e29970bbf.pdf""}, {""rank"": 6, ""url"": ""https://ww2.mini.pw.edu.pl/ogolnopolski-konkurs-na-najlepsza-prace-magisterska-dotyczaca-uczenia-maszynowego-lub-analizy-danych/""}, {""rank"": 7, ""url"": ""https://ww2.mini.pw.edu.pl/badania/publikacje/wszystkie-publikacje/""}, {""rank"": 8, ""url"": ""https://ww2.mini.pw.edu.pl/studia/inzynierskie-i-licencjackie/praktyki/""}, {""rank"": 9, ""url"": ""https://ww2.mini.pw.edu.pl/studia/dziekanat/sprawy-socjalne/""}, {""rank"": 10, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0537&callback=g_1bb9ff53""}, {""rank"": 11, ""url"": ""https://www.bip.pw.edu.pl/var/pw/storage/original/application/b316729d09938e94c7eb5528b0e0744d.pdf""}, {""rank"": 12, ""url"": ""https://ww4.mini.pw.edu.pl/for-students/deans-office/""}]"
Ile punktów ECTS mogę zdobyć za zaliczenie przedmiotu Modelowanie matematyczne na 5 semestrze kierunku Informatyka i Systemy Informacyjne?,"Nie mam tej informacji w dostępnych zasobach, ponieważ w dostarczonym kontekście przedmiot Modelowanie matematyczne widnieje jedynie dla kierunku Matematyka i Nauk Informacyjnych, a nie dla kierunku Informatyka i Systemy Informacyjne.","[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Plan-studiow-II-st-ISI-CC.pdf""}, {""rank"": 2, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Plan-studiow-I-st-Mat-1.pdf""}, {""rank"": 3, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Plan-studiow-I-st-MAD.pdf""}, {""rank"": 4, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Plan-studiow-II-st-ISI-MSI.pdf""}, {""rank"": 5, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPlanGrupyPrzedmiotow&grupa_kod=1120-INSIISP-S5&cdyd_kod=2025Z&plan_showSettings=1&plan_showStartTime=1&plan_showEndTime=1&plan_showTypeShort=1&plan_showTypeFull=0&plan_showGroupNumber=1&plan_showCourseName=1&plan_showCourseCode=0&plan_showRoom=1&plan_showBuildingCode=1&plan_showLecturers=1&plan_overridePrintWidth=1&plan_format=html&plan_colorScheme=default""}, {""rank"": 6, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPlanGrupyPrzedmiotow&grupa_kod=1120-INSIISP-S2&cdyd_kod=2026L&plan_showSettings=1&plan_showStartTime=1&plan_showEndTime=1&plan_showTypeShort=1&plan_showTypeFull=0&plan_showGroupNumber=1&plan_showCourseName=1&plan_showCourseCode=0&plan_showRoom=1&plan_showBuildingCode=1&plan_showLecturers=1&plan_overridePrintWidth=1&plan_format=html&plan_colorScheme=default""}, {""rank"": 7, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPlanGrupyPrzedmiotow&grupa_kod=1120-INSIMSI-S1Z3-Z&cdyd_kod=2025Z&plan_showSettings=1&plan_showStartTime=1&plan_showEndTime=1&plan_showTypeShort=1&plan_showTypeFull=0&plan_showGroupNumber=1&plan_showCourseName=1&plan_showCourseCode=0&plan_showRoom=1&plan_showBuildingCode=1&plan_showLecturers=1&plan_overridePrintWidth=1&plan_format=html&plan_colorScheme=default""}, {""rank"": 8, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPlanGrupyPrzedmiotow&grupa_kod=1120-INSICAD-S1Z3-L&cdyd_kod=2026L""}]"
"Czy mogę otrzymać zwrot kosztów za dojazdy i nocleg, jeśli odbywam praktykę studencką w innym mieście?","Student, który odbywa praktykę w miejscu innym niż jego stałe miejsce zamieszkania oraz siedziba uczelni, może ubiegać się o dofinansowanie poniesionych i należycie udokumentowanych kosztów dojazdów oraz zakwaterowania.","[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/praktyki_prezentacja_2025.pdf""}, {""rank"": 2, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/regulamin_praktyk_14_04_2022.pdf""}, {""rank"": 3, ""url"": ""https://ww2.mini.pw.edu.pl/studia/dziekanat/informacje-dziekanatu/""}, {""rank"": 4, ""url"": ""https://bip.pw.edu.pl/var/pw/storage/original/application/7fe181576ef6f818438bc0b3df98e13f.pdf""}, {""rank"": 5, ""url"": ""https://ww4.mini.pw.edu.pl/for-students/deans-office/""}, {""rank"": 6, ""url"": ""https://www.bss.pw.edu.pl/Stypendia/Stypendia-z-Funduszu-Stypendialnego/Stypendium-Rektora""}, {""rank"": 7, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Regulamin-zamowien-scalone.pdf""}, {""rank"": 8, ""url"": ""https://www.bip.pw.edu.pl/var/pw/storage/original/application/ee0f54fc508ca6edb94560f70b4dcd8b.pdf""}, {""rank"": 9, ""url"": ""file://Regulamin studiów w PW (5).pdf""}, {""rank"": 10, ""url"": ""https://www.bip.pw.edu.pl/Sprawy-Studenckie/Regulamin-studiow-w-Politechnice-Warszawskiej2""}, {""rank"": 11, ""url"": ""https://bip.pw.edu.pl/var/pw/storage/original/application/c82085781d743edb519bd365df87aded.pdf""}, {""rank"": 12, ""url"": ""https://ww2.mini.pw.edu.pl/studia/inzynierskie-i-licencjackie/praktyki/""}, {""rank"": 13, ""url"": ""https://ww2.mini.pw.edu.pl/laboratorium/uslugi/usluga-id/""}]"
Ile punktów ECTS uzyskam za zaliczenie przedmiotu Równania różniczkowe zwyczajne na kierunku Matematyka i Analiza Danych?,Nie mam tej informacji w dostępnych zasobach.,"[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Plan-studiow-I-st-Mat-1.pdf""}, {""rank"": 2, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Plan-studiow-I-st-MAD.pdf""}, {""rank"": 3, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/katalog-obieralne-2023.pdf""}, {""rank"": 4, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Plan-studiow-II-st-Mat.pdf""}, {""rank"": 5, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPlanGrupyPrzedmiotow&grupa_kod=1120-MDLSP-S3&cdyd_kod=2025Z&plan_showSettings=1&plan_showStartTime=1&plan_showEndTime=1&plan_showTypeShort=1&plan_showTypeFull=0&plan_showGroupNumber=1&plan_showCourseName=1&plan_showCourseCode=0&plan_showRoom=1&plan_showBuildingCode=1&plan_showLecturers=1&plan_overridePrintWidth=1&plan_format=html&plan_colorScheme=default""}, {""rank"": 6, ""url"": ""https://ww2.mini.pw.edu.pl/studia/magisterskie/matematyka-i-analiza-danych/statystyka-matematyczna-i-analiza-danych/""}, {""rank"": 7, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Plan-studiow-II-st-MAD.pdf""}, {""rank"": 8, ""url"": ""https://ww2.mini.pw.edu.pl/wysokie-zarobki-absolwentow-mini-pw-z-roku-2023-matematyka-10-441-i-miejsce-w-polsce/""}]"
"Co powinienem zrobić, jeśli w systemie USOS zauważę błędnie wpisaną ocenę?","W przypadku zauważenia błędnie wpisanej oceny należy niezwłocznie skontaktować się z prowadzącym, który wpisał tę ocenę, i poprosić go o korektę.","[{""rank"": 1, ""url"": ""https://www.bss.pw.edu.pl/Stypendia/Stypendia-z-Funduszu-Stypendialnego/Stypendium-Rektora""}, {""rank"": 2, ""url"": ""https://ww2.mini.pw.edu.pl/studia/dziekanat/sprawy-socjalne/""}, {""rank"": 3, ""url"": ""https://bss.ca.pw.edu.pl/Stypendia/Stypendia-z-Funduszu-Stypendialnego/Stypendium-Rektora""}, {""rank"": 4, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Poradnik-Stypendialny-SSPW-2025-2026.pdf""}, {""rank"": 5, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Procedura-przeprowadzania-sprawdzian%C3%B3w.pdf""}, {""rank"": 6, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Warunki-rejestracji-na-kolejny-semestr-rok-studiow-22.11.2023.pdf""}, {""rank"": 7, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/katalog-obieralne-2023.pdf""}, {""rank"": 8, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Warunki-rejestracji-na-kolejny-semestr_rok-studi%C3%B3w.pdf""}, {""rank"": 9, ""url"": ""https://ww2.mini.pw.edu.pl/studia/dziekanat/dokumenty-i-formularze/""}, {""rank"": 10, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-IN000-ISA-0508&callback=g_1bb9ff53""}, {""rank"": 11, ""url"": ""https://www.bip.pw.edu.pl/var/pw/storage/original/application/84cf2faf2873685ac94833c869fe866f.pdf""}, {""rank"": 12, ""url"": ""https://ww2.mini.pw.edu.pl/laboratorium/uslugi/usluga-id/""}]"
W jakim terminie muszę dostarczyć Pełnomocnikowi ds. Praktyk potwierdzenie odbycia praktyki wewnętrznej na wydziale?,Potwierdzenie odbycia praktyki należy przedstawić Pełnomocnikowi ds. Praktyk nie później niż w pierwszym miesiącu semestru następującego po zakończeniu praktyk.,"[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/regulamin_praktyk_14_04_2022.pdf""}, {""rank"": 2, ""url"": ""https://ww4.mini.pw.edu.pl/for-students/deans-office/""}, {""rank"": 3, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/praktyki_prezentacja_2025.pdf""}, {""rank"": 4, ""url"": ""https://www.bip.pw.edu.pl/var/pw/storage/original/application/84cf2faf2873685ac94833c869fe866f.pdf""}, {""rank"": 5, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Warunki-rejestracji-na-kolejny-semestr-rok-studiow-22.11.2023.pdf""}, {""rank"": 6, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/pracownicy/rada/uch_06_2017_07_zal1.pdf""}, {""rank"": 7, ""url"": ""https://ww2.mini.pw.edu.pl/studia/inzynierskie-i-licencjackie/praktyki/""}, {""rank"": 8, ""url"": ""https://bip.pw.edu.pl/var/pw/storage/original/application/6ae70089d460bc9ba71566298fa79fcf.pdf""}, {""rank"": 9, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/uchwala_rady_21_02_2019.pdf""}]"
Jaką wiedzę z zakresu rynków finansowych posiada absolwent specjalności Probabilistyka i Modelowanie?,Absolwent specjalności Probabilistyka i Modelowanie posiada szczegółową wiedzę z zakresu matematyki finansowej oraz teorii ryzyka.,"[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/studia/magisterskie/matematyka-i-analiza-danych/probabilistyka-i-modelowanie/""}, {""rank"": 2, ""url"": ""https://ww2.mini.pw.edu.pl/studia/magisterskie/matematyka-i-analiza-danych/""}, {""rank"": 3, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/f676afa0d765aa67153d0b03ff3026d9.pdf""}, {""rank"": 4, ""url"": ""https://ww2.mini.pw.edu.pl/sukces-absolwentow-mini-w-konkursie-ptm-na-najlepsza-prace-z-teorii-prawdopodobienstwa-i-zastosowan-matematyki/""}, {""rank"": 5, ""url"": ""https://ww2.mini.pw.edu.pl/studia/magisterskie/matematyka-i-analiza-danych/statystyka-matematyczna-i-analiza-danych/""}, {""rank"": 6, ""url"": ""file://5fa985b6312c5d0bed2a8033e51f5ed1.pdf""}, {""rank"": 7, ""url"": ""file://7a136bd0176eb67eef238c3d075aa65e.pdf""}]"
Na jakiej podstawie odbywa się zaliczenie z przedmiotu Wnioskowanie rozmyte i jaka jest minimalna liczba punktów potrzebna do jego uzyskania?,"Zaliczenie przedmiotu Wnioskowanie rozmyte odbywa się na podstawie punktów uzyskanych za test (maksymalnie 10 punktów), projekty (maksymalnie 20 punktów przy dwóch zadaniach po 10 punktów) oraz aktywność na zajęciach (maksymalnie 20 punktów). W przypadku uzyskania mniejszej liczby punktów konieczne jest napisanie kolokwium, za które można otrzymać maksymalnie 20 punktów. Minimalna liczba punktów potrzebna do zaliczenia przedmiotu wynosi 27.","[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/katalog-obieralne-2023.pdf""}, {""rank"": 2, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0648&callback=g_1bb9ff53""}, {""rank"": 3, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1170-IN000-MSP-0662&callback=g_1bb9ff53""}, {""rank"": 4, ""url"": ""https://www.bss.pw.edu.pl/Stypendia/Stypendia-z-Funduszu-Stypendialnego/Stypendium-Rektora""}]"
"Ile minimalnie punktów ECTS muszę uzyskać, aby otrzymać rejestrację na 3 semestr na studiach pierwszego stopnia?","Aby otrzymać rejestrację na semestr 3 na studiach pierwszego stopnia, należy uzyskać co najmniej 40 punktów ECTS.","[{""rank"": 1, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Warunki-rejestracji-na-kolejny-semestr-rok-studiow-22.11.2023.pdf""}, {""rank"": 2, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/katalog-obieralne-2023.pdf""}, {""rank"": 3, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Warunki-rejestracji-na-kolejny-semestr_rok-studi%C3%B3w.pdf""}, {""rank"": 4, ""url"": ""https://ww2.mini.pw.edu.pl/wp-content/uploads/Plan-studiow-II-st-Mat.pdf""}]"
W jaki sposób mogę złożyć podanie o zmianę grupy studenckiej lub zajęciowej?,Podanie o zmianę grupy studenckiej lub zajęciowej jest dostępne w systemie USOSweb.,"[{""rank"": 1, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/szukajPrzedmiotu&method=faculty_groups&jed_org_kod=112000&grupaKod=1120-OBIERALNE&callback=g_181b84c2&cp_showDescriptions=0&cp_showGroupsColumn=0&cp_cdydsDisplayLevel=2&f_tylkoWRejestracji=0&f_obcojezyczne=0&kierujNaPlanyGrupy=0&tab5585_offset=0&tab5585_limit=300&tab5585_order=2a1a""}, {""rank"": 2, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1170-IN000-MSP-0662&callback=g_1bb9ff53""}, {""rank"": 3, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0507&callback=g_1bb9ff53""}, {""rank"": 4, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0524&callback=g_1bb9ff53""}, {""rank"": 5, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-IN000-ISP-0606&callback=g_1bb9ff53""}, {""rank"": 6, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0537&callback=g_1bb9ff53""}, {""rank"": 7, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1050-IN000-ISA-0584&callback=g_1bb9ff53""}, {""rank"": 8, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-IN000-ISP-0592&callback=g_1bb9ff53""}, {""rank"": 9, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0692&callback=g_1bb9ff53""}, {""rank"": 10, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0684&callback=g_1bb9ff53""}, {""rank"": 11, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0648&callback=g_1bb9ff53""}, {""rank"": 12, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0619&callback=g_1bb9ff53""}, {""rank"": 13, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-IN000-ISP-0698&callback=g_1bb9ff53""}, {""rank"": 14, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0547&callback=g_1bb9ff53""}, {""rank"": 15, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-NSP-0601&callback=g_1bb9ff53""}, {""rank"": 16, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0541&callback=g_1bb9ff53""}, {""rank"": 17, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-IN000-MSA-0500&callback=g_1bb9ff53""}, {""rank"": 18, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1030-IN000-ISP-0578&callback=g_1bb9ff53""}, {""rank"": 19, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-INCAD-MSP-0500&callback=g_1bb9ff53""}, {""rank"": 20, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0508&callback=g_1bb9ff53""}, {""rank"": 21, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-DS000-ISP-0236&callback=g_1bb9ff53""}, {""rank"": 22, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-MA000-LSP-0627&callback=g_1bb9ff53""}, {""rank"": 23, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-IN000-MSP-0566&callback=g_1bb9ff53""}, {""rank"": 24, ""url"": ""https://ww2.mini.pw.edu.pl/studia/dziekanat/dokumenty-i-formularze/""}, {""rank"": 25, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-IN000-ISA-0508&callback=g_1bb9ff53""}, {""rank"": 26, ""url"": ""https://usosweb.usos.pw.edu.pl/kontroler.php?_action=katalog2/przedmioty/pokazPrzedmiot&prz_kod=1120-IN000-ISA-0503&callback=g_1bb9ff53""}, {""rank"": 27, ""url"": ""https://ww2.mini.pw.edu.pl/studia/magisterskie/kandydaci/""}, {""rank"": 28, ""url"": ""https://ww2.mini.pw.edu.pl/wydzial/zamowienia-publiczne/""}]"
